Models,E1N_μ,dE1N_μ,E25N_ρ,dE25N_ρ,E25r_ρ,dE25r_ρ,E25N_μ_G0,dE25N_μ_G0,E25r_μ_G0,dE25r_μ_G0,E25N_ρ_G0,dE25N_ρ_G0,E25r_ρ_G0,dE25r_ρ_G0,E25N_μ_G1,dE25N_μ_G1,E25r_μ_G1,dE25r_μ_G1,E25N_ρ_G1,dE25N_ρ_G1,E25r_ρ_G1,dE25r_ρ_G1,E25N_μ_G2,dE25N_μ_G2,E25r_μ_G2,dE25r_μ_G2,E25N_ρ_G2,dE25N_ρ_G2,E25r_ρ_G2,dE25r_ρ_G2,E11S_μ,dE11S_μ,E12S_μ,dE12S_μ,E11T_μ,dE11T_μ,E12T_μ,dE12T_μ,ActR1_μ_S1:3E1,dActR1_μ_S1:3E1,ActR2_μ_S1:3E1,dActR2_μ_S1:3E1,ActR1_μ_S1:3G0E25,dActR1_μ_S1:3G0E25,ActR2_μ_S1:3G0E25,dActR2_μ_S1:3G0E25,ActR1_μ_S1:3G1E25,dActR1_μ_S1:3G1E25,ActR2_μ_S1:3G1E25,dActR2_μ_S1:3G1E25,ActR1_μ_S1:3G2E25,dActR1_μ_S1:3G2E25,ActR2_μ_S1:3G2E25,dActR2_μ_S1:3G2E25,ActR1_μ_S[4]E1,dActR1_μ_S[4]E1,ActR2_μ_S[4]E1,dActR2_μ_S[4]E1,ActR1_μ_S[4]G0E25,dActR1_μ_S[4]G0E25,ActR2_μ_S[4]G0E25,dActR2_μ_S[4]G0E25,ActR1_μ_S[4]G1E25,dActR1_μ_S[4]G1E25,ActR2_μ_S[4]G1E25,dActR2_μ_S[4]G1E25,ActR1_μ_S[4]G2E25,dActR1_μ_S[4]G2E25,ActR2_μ_S[4]G2E25,dActR2_μ_S[4]G2E25,ActR1_μ_S5:6E1,dActR1_μ_S5:6E1,ActR2_μ_S5:6E1,dActR2_μ_S5:6E1,ActR1_μ_S5:6G0E25,dActR1_μ_S5:6G0E25,ActR2_μ_S5:6G0E25,dActR2_μ_S5:6G0E25,ActR1_μ_S5:6G1E25,dActR1_μ_S5:6G1E25,ActR2_μ_S5:6G1E25,dActR2_μ_S5:6G1E25,ActR1_μ_S5:6G2E25,dActR1_μ_S5:6G2E25,ActR2_μ_S5:6G2E25,dActR2_μ_S5:6G2E25
N,198.0,4.509209275951766,-0.3545501101894623,0.02067906712363046,-0.38588419984363764,0.02345636112633703,75.0,4.31780942472317,0.3673961624769413,0.013945333440705964,-0.0400677362152675,0.02830316326984797,0.24786388253699432,0.02776810016415638,60.5,3.5796850622848284,0.272446897556643,0.019403759713366976,-0.3250930951221043,0.02652301658999977,0.06238780336758587,0.029075339010462765,32.5,1.7145960426845719,0.10524160524160524,0.012667148627317333,-0.378551253457036,0.026521598307378814,-0.13458125869673268,0.031692184448741986,0.12949153624700646,0.0038745366442925885,0.25758338878422227,0.006504750142863423,0.35907956021952137,0.0034219255448643894,0.21915858036422597,0.0034601743925774782,0.45621506781893534,0.004781676652571107,0.3023194997478343,0.004095539357340061,0.5571085149810923,0.006566512497294696,0.2787973419584901,0.005742794998207971,0.550979051723441,0.007185950486496585,0.27646387666871824,0.006156797394430163,0.5788956909479444,0.009177963192624728,0.25136286882085246,0.007546794338182723,0.30632737625624934,0.0048291902356948115,0.5469224524388359,0.005700836197471618,0.2576517601914787,0.007707483837181631,0.6794641491618454,0.008915306813373157,0.34528241534359644,0.010638464588617757,0.5791116705986524,0.011808443987509102,0.5196806163051392,0.014178596122157164,0.4063063164962036,0.014012695580585271,0.46066441142763037,0.008790630701237222,0.3036584033869749,0.007291403656335335,0.3926286738595491,0.008923262270880557,0.44032925895931946,0.00960878221411492,0.46456665244750894,0.010941309163980562,0.36745943603037734,0.010936486693935668,0.6391172051016373,0.012772758712527633,0.2582637793209528,0.011781214386674725
S,259.5,13.225484429080035,-0.47458233157660973,0.019122353501242095,-0.20912178435063997,0.0316844950879508,128.0,8.000501595261124,0.2981955276694553,0.013773993666019536,-0.21315222663174105,0.033233194758410245,0.03742507325467908,0.0348183877496294,80.0,3.237190037182995,0.27112006261518146,0.010328760825099346,-0.36707847434350843,0.030034564297999816,-0.012059931287509186,0.035964575852807865,42.5,1.683986582728856,0.1877564979480164,0.009067396013821345,-0.5270763664556241,0.022379076340437516,-0.14095544181476313,0.033443996092891434,0.1711285335226924,0.005318060649405227,0.28814611021782066,0.007266596239158806,0.332362643264323,0.004260509374783095,0.2317086203312917,0.004389085622347903,0.442658872981512,0.005583908445258345,0.2910916056678383,0.004420290258133999,0.513430325288774,0.007639877559077505,0.2791389087457333,0.006095610200876483,0.5327835527599742,0.008466748943859822,0.2653632541472806,0.0067660883432200435,0.5699297453472787,0.009448972528296991,0.23869542640957142,0.007068962482746673,0.2689947311842529,0.0058853294275167485,0.5964401003767148,0.0067834472716136835,0.25077763498192185,0.008571370029034105,0.6404652253375536,0.010802503257614147,0.3010291090960776,0.01129598832731476,0.5976587164386286,0.012575813220430642,0.4021031549389068,0.013782542682413874,0.5058909020286971,0.014804356996949944,0.4738994346895917,0.010142180497846674,0.2744339866218361,0.007789090606627228,0.4037526423697212,0.011814133784537929,0.3360471562690788,0.010418727924108643,0.48332356974596524,0.012279986562868776,0.2979344413333664,0.011000267423798523,0.6075737178602332,0.01312980786295473,0.24997097746827127,0.010978366813509322
I,211.0,6.927362865703462,-0.3940354159818439,0.020489532231195408,-0.27550790442708034,0.025746723490329203,80.5,4.967926256627737,0.3249582110241357,0.010313152480909537,-0.09975650521079779,0.02670520038334762,0.1778766805445623,0.028741577491087453,59.0,2.8613840215040214,0.31878173550587346,0.01916512173789947,-0.2830836373242127,0.02657131941582439,0.15693570497339265,0.029597032401412187,33.5,1.7448651249607523,0.1640052062582319,0.013760494326653902,-0.5094093613873919,0.02257200880925428,-0.15968005225188103,0.03101045659918696,0.1617117240945371,0.004495723763678878,0.2928795413815902,0.006632422493786203,0.33763187506236786,0.0036225419915535463,0.215095847369319,0.003652322761125702,0.4410530771464228,0.004642985518181185,0.30967910053518616,0.004059594078780662,0.5381502928060926,0.006899058204447635,0.28116996450856807,0.005876272702684608,0.5429427223289484,0.0076597336822828805,0.27870429764082083,0.006479434171845766,0.5614425457723061,0.009001084181214161,0.25507114149794025,0.007405461153622073,0.2828423669306236,0.004987137058955394,0.5940550753619548,0.005953192960504532,0.26993018609787883,0.00901085981619487,0.6469447029691271,0.010077569147409988,0.3019764853441489,0.010496791709599567,0.6295439133426193,0.011760664613085352,0.4600989969160442,0.01348014394964323,0.466136388622443,0.013684528136972351,0.4445443306794923,0.008943693494609205,0.3213436142299926,0.007515649087527669,0.44712446112351245,0.009370604782630148,0.3665201819082392,0.008910831155960256,0.5072630222486955,0.01024720050763054,0.34206368209109383,0.009676527034871433,0.625365532037536,0.01262451037972034,0.2563069864750183,0.011325887052342361
noInt,347.0,18.905191088759462,-0.3525475283686417,0.026643809192959635,-0.17328700040832712,0.02905422980788203,299.5,30.53913518385511,0.0718170098780007,0.006382514065104553,-0.09876833904875702,0.035727443869085565,0.008427850434195076,0.03721826442212646,234.5,15.593455216711769,0.06578947368421052,0.007119472707295436,-0.2128164231068696,0.03271286211002507,-0.068603433473673,0.034751596709941115,100.25,12.283772771873101,0.02871386899665762,0.003914800823828732,-0.2980583982790793,0.03188200844594175,-0.15822981333737762,0.0363492325547987,0.08132556591310168,0.0035609410875797917,0.11019298264860378,0.005038224378062673,0.3823852715374978,0.0044621958568969965,0.31823823723019823,0.00459388247387655,0.42821691428371866,0.007039425488516784,0.2858898437972654,0.005395521370372948,0.4077327403142725,0.008198915923067353,0.3080195674433501,0.00665470703679559,0.4251565613181439,0.009333579184686157,0.2944870053815241,0.007267733725240953,0.43884928804818685,0.010633403973449746,0.29213845962594925,0.007986126116203631,0.35865623593824375,0.006335212014663428,0.4375274801061103,0.006501214156766188,0.39114456612849574,0.013843516249147795,0.40810986461100507,0.013915427857187234,0.40094798543732774,0.013827659413840659,0.38626485107867015,0.013923910660470235,0.5175689899458382,0.015950975712181768,0.2781705023533826,0.013005751060508877,0.47929613645919783,0.010907845516068356,0.2619764595573534,0.008348951563710464,0.3984082420554904,0.013332111539638765,0.294469272319024,0.011309959183023407,0.4602737839611344,0.012732002108233184,0.27422802345863195,0.010523125739596892,0.663235381238555,0.014968217330658909,0.1849005230742365,0.010862231432417902
Humans,196.0,22.53481532074657,-0.4949218856914714,0.07137815890863863,-0.5319516837172009,0.09830870774991497,73.5,27.89775052283308,0.35518424742562676,0.030833472673104514,0.08616295136767457,0.1372794069471969,0.16251910760395671,0.16289069660875594,34.5,22.647235483056726,0.2272497493315508,0.08224363036540575,-0.3057441833248071,0.12373818509528263,-0.13079566134939463,0.1754566435185064,9.5,5.835839358740187,0.05555555555555555,0.025626750446905253,-0.12750479363662687,0.1418485090476472,-0.2537979520678284,0.18430486907568103,0.2540790520946407,0.032491079925809595,0.3924481387344915,0.03693749131620413,0.33781901976473167,0.020708830993158133,0.19645643757205652,0.019025764017833853,0.4943242121954754,0.024685039032131966,0.2371036571757239,0.020909741286097364,0.6841992956250259,0.04142175500071296,0.16586617245890176,0.02941381988368803,0.7520018670200413,0.03989219325288829,0.11627035115027917,0.026575670922289765,0.7523848278332889,0.05375457116635346,0.12533623348441533,0.031675698012407216,0.27563478287967175,0.022135161672775336,0.613335396446377,0.02712012871975397,0.2592324017024153,0.027447231426538533,0.6772828888324833,0.03363958142104774,0.4534548927104871,0.06707353934076021,0.4547510870130463,0.06995426252860758,0.6802689627653183,0.07776620478880704,0.23663325125501444,0.07289957698396447,0.5518503871791308,0.042083286141989126,0.20207439491087853,0.029767890993636616,0.47899173128910194,0.0442362164797484,0.24060470413027563,0.026399936551851542,0.6127298619484416,0.06459454993992532,0.20887816391875508,0.04355309047537646,0.7745066208301503,0.06940881779405275,0.1328558696205755,0.04621309698927699
